contract_id,asset_type,asset_value,interest_rate,monthly_payment,remaining_term_months,probability_of_default
ENP-2026-02355,Solar,24861.33,0.0615,197.93,240,0.0402
ENP-2026-02356,Solar,28823.63,0.0544,188.75,240,0.0385
ENP-2026-02357,Heat Pump,38469.25,0.062,229.89,240,0.0303
ENP-2026-02358,Solar,25021.42,0.0634,185.69,240,0.0135
ENP-2026-02359,Solar,24666.16,0.0662,181.3,240,0.0223
ENP-2026-02360,Solar,22790.39,0.0581,205.52,240,0.0441
ENP-2026-02361,Solar,22239.3,0.0559,186.2,240,0.0422
ENP-2026-02362,Solar,26123.84,0.0513,170.58,240,0.0257
ENP-2026-02363,Solar,21440.35,0.0591,169.02,240,0.06
ENP-2026-02364,Solar,25154.75,0.0512,170.67,240,0.0167
ENP-2026-02365,Solar,24082.74,0.0677,153.8,240,0.0247
ENP-2026-02366,Solar,20835.64,0.0569,174.12,240,0.0106
ENP-2026-02367,Solar,24605.93,0.0575,172.16,240,0.0283
ENP-2026-02368,Solar,22937.84,0.0544,168.89,240,0.0244
ENP-2026-02369,Solar,23560.37,0.06,210.83,240,0.0131
ENP-2026-02370,Solar,27447.86,0.059,179.4,240,0.0198
ENP-2026-02371,Solar,23812.29,0.0635,181.48,240,0.0427
ENP-2026-02372,Heat Pump,35468.35,0.0617,240.94,240,0.0382
ENP-2026-02373,Solar,23537.57,0.0622,175.42,240,0.0617
ENP-2026-02374,Solar,23521.94,0.0538,171.41,240,0.0286
ENP-2026-02375,Solar,24044.59,0.0597,155.19,240,0.0269
ENP-2026-02376,Solar,23710.21,0.0543,188.24,240,0.0318
ENP-2026-02377,Solar,26057.55,0.0574,183.25,240,0.0292
ENP-2026-02378,Heat Pump,34422.64,0.0634,235.32,240,0.0224
ENP-2026-02379,Solar,24915.65,0.0617,177.21,240,0.0146
ENP-2026-02380,Heat Pump,37393.31,0.0673,235.02,240,0.0249
ENP-2026-02381,Heat Pump,37307.62,0.0632,256.57,240,0.0217
ENP-2026-02382,Heat Pump,37022.7,0.0601,228.53,240,0.035
ENP-2026-02383,Heat Pump,33383.26,0.0597,268.69,240,0.0262
ENP-2026-02384,Solar,27683.36,0.0496,176.38,240,0.0577
ENP-2026-02385,Solar,22022.91,0.055,170.54,240,0.0419
ENP-2026-02386,Solar,28346.42,0.0538,171.23,240,0.0031
ENP-2026-02387,Solar,24105.56,0.0595,169.1,240,0.0261
ENP-2026-02388,Solar,27213.55,0.0617,157.73,240,0.0263
ENP-2026-02389,Solar,23943.84,0.0586,179.38,240,0.0254
ENP-2026-02390,Solar,22624.38,0.0518,164.26,240,0.0265
ENP-2026-02391,Solar,25317.29,0.0582,184.49,240,0.0349
ENP-2026-02392,Solar,25551.6,0.0648,182.63,240,0.019
ENP-2026-02393,Solar,23646.38,0.0562,165.29,240,0.0167
ENP-2026-02394,Solar,23762.57,0.0505,195.87,240,0.016
ENP-2026-02395,Heat Pump,39631.85,0.0664,249.03,240,0.0383
ENP-2026-02396,Solar,22742.16,0.0625,188.45,240,0.0254
ENP-2026-02397,Solar,26697.32,0.0572,178.12,240,0.0301
ENP-2026-02398,Solar,26150.39,0.053,181.62,240,0.0132
ENP-2026-02399,Solar,22501.41,0.0556,164.39,240,0.0553
ENP-2026-02400,Solar,26124.15,0.0613,193.86,240,0.0159
ENP-2026-02401,Solar,25751.24,0.0603,176.16,240,0.0461
ENP-2026-02402,Solar,28271.0,0.055,195.59,240,0.0152
ENP-2026-02403,Solar,25131.11,0.0615,172.54,240,0.037
ENP-2026-02404,Solar,23509.02,0.0544,176.31,240,0.0208
ENP-2026-02405,Solar,25162.49,0.0595,184.92,240,0.0386
ENP-2026-02406,Solar,22882.72,0.049,163.37,240,0.0194
ENP-2026-02407,Solar,29763.89,0.0554,187.22,240,0.0341
ENP-2026-02408,Solar,27460.51,0.0547,156.73,240,0.0432
ENP-2026-02409,Heat Pump,35863.98,0.0654,287.25,240,0.0317
ENP-2026-02410,Solar,26756.14,0.0573,194.24,240,0.024
ENP-2026-02411,Solar,25856.91,0.0631,187.57,240,0.019
ENP-2026-02412,Solar,24448.28,0.0557,192.31,240,0.0185
ENP-2026-02413,Solar,24659.05,0.0615,185.99,240,0.0487
ENP-2026-02414,Solar,25292.54,0.0561,193.15,240,0.019
ENP-2026-02415,Solar,26172.86,0.057,213.75,240,0.0328
ENP-2026-02416,Heat Pump,38884.29,0.0726,230.16,240,0.0264
ENP-2026-02417,Solar,23021.99,0.053,169.47,240,0.0119
ENP-2026-02418,Solar,25065.08,0.0595,179.16,240,0.0474
ENP-2026-02419,Solar,25178.01,0.056,171.68,240,0.0043
ENP-2026-02420,Solar,22844.8,0.0645,179.57,240,0.0103
ENP-2026-02421,Solar,27436.52,0.0561,161.79,240,0.0178
ENP-2026-02422,Solar,22077.22,0.0514,190.0,240,0.0065
ENP-2026-02423,Heat Pump,33054.66,0.0583,263.65,240,0.0282
ENP-2026-02424,Solar,25369.35,0.0605,183.87,240,0.0411
ENP-2026-02425,Solar,23369.44,0.0522,167.82,240,0.0794
ENP-2026-02426,Heat Pump,33929.76,0.0723,225.49,240,0.0644
ENP-2026-02427,Solar,25217.91,0.0533,159.68,240,0.0626
ENP-2026-02428,Heat Pump,38473.63,0.0676,255.83,240,0.0117
ENP-2026-02429,Solar,23300.25,0.0608,167.42,240,0.0165
ENP-2026-02430,Heat Pump,37221.94,0.0639,283.24,240,0.0198
ENP-2026-02431,Solar,26289.91,0.0548,164.51,240,0.025
ENP-2026-02432,Heat Pump,32867.64,0.0678,265.99,240,0.0588
ENP-2026-02433,Heat Pump,35934.18,0.0697,273.38,240,0.0244
ENP-2026-02434,Solar,22211.05,0.0534,169.97,240,0.0422
ENP-2026-02435,Heat Pump,34277.8,0.0663,265.04,240,0.0104
ENP-2026-02436,Solar,25172.98,0.0563,182.29,240,0.0287
ENP-2026-02437,Solar,26353.8,0.0546,199.99,240,0.0439
ENP-2026-02438,Solar,23681.21,0.0533,205.47,240,0.0307
ENP-2026-02439,Solar,21456.08,0.0554,184.19,240,0.0243
ENP-2026-02440,Solar,28537.32,0.0581,167.95,240,0.0326
ENP-2026-02441,Solar,24598.67,0.0522,162.26,240,0.028
ENP-2026-02442,Solar,22447.85,0.058,196.59,240,0.0366
ENP-2026-02443,Heat Pump,35867.67,0.0719,269.82,240,0.0129
ENP-2026-02444,Heat Pump,38668.54,0.0619,218.66,240,0.0116
ENP-2026-02445,Solar,25834.8,0.0628,157.72,240,0.0051
ENP-2026-02446,Solar,25049.13,0.0547,188.67,240,0.0264
ENP-2026-02447,Solar,20566.24,0.0576,165.44,240,0.0052
ENP-2026-02448,Solar,23787.44,0.058,153.63,240,0.0266
ENP-2026-02449,Solar,25388.36,0.0609,174.64,240,0.0512
ENP-2026-02450,Solar,23635.98,0.0591,179.73,240,0.0553
ENP-2026-02451,Solar,26686.37,0.0615,175.89,240,0.0088
ENP-2026-02452,Heat Pump,32201.3,0.0626,224.79,240,0.0502
ENP-2026-02453,Solar,24670.54,0.0584,202.33,240,0.0306
ENP-2026-02454,Solar,28259.74,0.0578,191.66,240,0.0307
ENP-2026-02455,Solar,24107.53,0.0551,191.71,240,0.0088
ENP-2026-02456,Solar,24689.06,0.0565,178.15,240,0.0406
ENP-2026-02457,Solar,25363.2,0.0551,187.18,240,0.051
ENP-2026-02458,Solar,23525.34,0.0505,195.48,240,0.0084
ENP-2026-02459,Solar,28302.47,0.0732,155.5,240,0.0307
ENP-2026-02460,Solar,23995.04,0.0594,166.66,240,0.0407
ENP-2026-02461,Heat Pump,34298.47,0.0631,280.13,240,0.0658
ENP-2026-02462,Heat Pump,32880.98,0.0656,243.34,240,0.0062
ENP-2026-02463,Solar,22348.23,0.056,169.3,240,0.0273
ENP-2026-02464,Solar,26849.76,0.0568,176.06,240,0.0141
ENP-2026-02465,Solar,24838.55,0.0564,188.99,240,0.0007
ENP-2026-02466,Solar,21530.19,0.0542,168.09,240,0.0472
ENP-2026-02467,Solar,22541.29,0.059,178.48,240,0.0396
ENP-2026-02468,Solar,28707.09,0.0678,184.71,240,0.0297
ENP-2026-02469,Solar,26055.39,0.0544,191.8,240,0.0342
ENP-2026-02470,Solar,24228.77,0.0508,189.41,240,0.0383
ENP-2026-02471,Solar,25548.97,0.0505,183.97,240,0.0289
ENP-2026-02472,Heat Pump,38693.07,0.0685,238.2,240,0.01
ENP-2026-02473,Heat Pump,33460.18,0.0674,234.04,240,0.0266
ENP-2026-02474,Solar,25261.64,0.059,179.74,240,0.04
ENP-2026-02475,Solar,23809.02,0.0515,179.51,240,0.0066
ENP-2026-02476,Heat Pump,31593.72,0.0655,273.05,240,0.0266
ENP-2026-02477,Solar,23638.61,0.0586,173.29,240,0.0155
ENP-2026-02478,Heat Pump,35025.46,0.0704,263.73,240,0.0163
ENP-2026-02479,Solar,23478.84,0.0621,194.68,240,0.0381
ENP-2026-02480,Heat Pump,39652.82,0.068,269.72,240,0.0161
ENP-2026-02481,Solar,26446.19,0.0528,188.22,240,0.0144
ENP-2026-02482,Heat Pump,35036.08,0.0677,272.39,240,0.0273
ENP-2026-02483,Heat Pump,37788.44,0.0632,273.79,240,0.0643
ENP-2026-02484,Solar,26109.53,0.0498,174.81,240,0.0155
ENP-2026-02485,Solar,28072.64,0.0604,160.59,240,0.0075
ENP-2026-02486,Heat Pump,37073.74,0.0607,237.84,240,0.0113
ENP-2026-02487,Solar,26767.94,0.0607,203.17,240,0.0363
ENP-2026-02488,Heat Pump,34875.07,0.0713,261.03,240,0.0322
ENP-2026-02489,Solar,23194.76,0.0594,195.02,240,0.0726
ENP-2026-02490,Solar,28984.99,0.0567,184.07,240,0.0321
ENP-2026-02491,Solar,27249.61,0.0547,189.58,240,0.015
ENP-2026-02492,Solar,27173.14,0.066,184.16,240,0.0646
ENP-2026-02493,Heat Pump,39512.34,0.065,260.51,240,0.0192
ENP-2026-02494,Solar,28655.96,0.0562,172.37,240,0.0502
ENP-2026-02495,Solar,20806.17,0.0565,188.33,240,0.0422
ENP-2026-02496,Solar,26007.51,0.0608,178.74,240,0.0425
ENP-2026-02497,Solar,25020.4,0.0573,151.49,240,0.0107
ENP-2026-02498,Heat Pump,35218.08,0.0653,280.75,240,0.0463
ENP-2026-02499,Heat Pump,34962.35,0.0612,252.21,240,0.0394
ENP-2026-02500,Solar,25901.64,0.0536,167.68,240,0.0448
ENP-2026-02501,Heat Pump,31811.09,0.064,251.46,240,0.0164
ENP-2026-02502,Heat Pump,37316.68,0.0677,269.54,240,0.017
ENP-2026-02503,Solar,22253.9,0.0613,196.9,240,0.0081
ENP-2026-02504,Heat Pump,34117.68,0.0645,251.78,240,0.0355
ENP-2026-02505,Solar,25461.85,0.0588,188.59,240,0.0243
ENP-2026-02506,Solar,28778.1,0.0476,190.1,240,0.0266
ENP-2026-02507,Heat Pump,35170.47,0.0657,272.51,240,0.0126
ENP-2026-02508,Solar,23541.02,0.0553,163.64,240,0.0212
ENP-2026-02509,Heat Pump,38196.85,0.0603,265.71,240,0.0056
ENP-2026-02510,Heat Pump,36564.92,0.0705,225.92,240,0.0104
ENP-2026-02511,Solar,22303.34,0.059,186.78,240,0.0203
ENP-2026-02512,Heat Pump,34882.91,0.0656,238.04,240,0.0384
ENP-2026-02513,Solar,21117.16,0.05,193.64,240,0.0103
ENP-2026-02514,Solar,21976.01,0.0635,171.48,240,0.0418
ENP-2026-02515,Solar,24933.18,0.0597,198.2,240,0.0261
ENP-2026-02516,Heat Pump,38145.98,0.0653,257.55,240,0.0482
ENP-2026-02517,Solar,27380.01,0.066,178.39,240,0.025
ENP-2026-02518,Solar,26682.46,0.0631,190.84,240,0.0407
ENP-2026-02519,Solar,25494.59,0.0542,178.54,240,0.0239
ENP-2026-02520,Solar,23490.81,0.0492,177.97,240,0.0177
ENP-2026-02521,Solar,27070.55,0.0683,190.18,240,0.0066
ENP-2026-02522,Solar,23946.04,0.0575,174.55,240,0.0612
ENP-2026-02523,Solar,22966.65,0.0654,157.56,240,0.0101
ENP-2026-02524,Solar,27817.71,0.0553,197.14,240,0.0228
ENP-2026-02525,Heat Pump,35948.31,0.0668,282.43,240,0.0313
ENP-2026-02526,Solar,25716.29,0.0623,181.48,240,0.0386
ENP-2026-02527,Solar,21884.57,0.0545,232.59,240,0.0446
ENP-2026-02528,Heat Pump,30896.81,0.058,237.21,240,0.0125
ENP-2026-02529,Solar,22705.5,0.0616,164.02,240,0.0215
ENP-2026-02530,Heat Pump,40319.23,0.0623,239.21,240,0.031
ENP-2026-02531,Solar,24745.0,0.0547,175.96,240,0.0043
ENP-2026-02532,Heat Pump,38809.03,0.0688,250.84,240,0.017
ENP-2026-02533,Solar,28570.06,0.0557,164.03,240,0.0403
ENP-2026-02534,Solar,25020.02,0.0612,156.04,240,0.0282
ENP-2026-02535,Solar,25987.18,0.0605,173.48,240,0.0105
ENP-2026-02536,Heat Pump,32565.69,0.0677,254.88,240,0.0377
ENP-2026-02537,Solar,25259.92,0.0568,167.62,240,0.0134
ENP-2026-02538,Solar,23949.15,0.0641,154.46,240,0.0122
ENP-2026-02539,Heat Pump,42354.88,0.0647,278.71,240,0.0301
ENP-2026-02540,Heat Pump,34249.42,0.0606,263.41,240,0.0237
ENP-2026-02541,Solar,24620.33,0.0597,172.14,240,0.0205
ENP-2026-02542,Heat Pump,31907.16,0.0621,276.24,240,0.0214
ENP-2026-02543,Heat Pump,33464.61,0.0618,251.84,240,0.0098
ENP-2026-02544,Solar,27182.95,0.0635,174.69,240,0.0427
ENP-2026-02545,Solar,26503.84,0.0486,184.88,240,0.0106
ENP-2026-02546,Solar,23475.3,0.0596,181.68,240,0.0043
ENP-2026-02547,Solar,23394.44,0.0625,188.06,240,0.0302
ENP-2026-02548,Solar,28139.51,0.0618,178.97,240,0.0332
ENP-2026-02549,Solar,25194.58,0.0563,199.9,240,0.0216
ENP-2026-02550,Solar,27519.24,0.058,166.03,240,0.028
ENP-2026-02551,Solar,26207.58,0.062,176.16,240,0.0264
ENP-2026-02552,Solar,28901.57,0.0503,179.88,240,0.0119
ENP-2026-02553,Heat Pump,34922.97,0.0599,230.01,240,0.0241
ENP-2026-02554,Heat Pump,29372.1,0.0659,238.86,240,0.0345
ENP-2026-02555,Solar,26989.39,0.058,159.08,240,0.027
ENP-2026-02556,Heat Pump,31891.59,0.0656,233.84,240,0.0092
ENP-2026-02557,Solar,25107.03,0.0627,183.48,240,0.0511
ENP-2026-02558,Solar,26785.91,0.0662,194.34,240,0.0511
ENP-2026-02559,Solar,22806.14,0.062,187.7,240,0.0196
ENP-2026-02560,Solar,28147.55,0.0497,182.0,240,0.0455
ENP-2026-02561,Heat Pump,35701.74,0.0639,236.55,240,0.0268
ENP-2026-02562,Solar,23541.83,0.0558,177.99,240,0.0212
ENP-2026-02563,Solar,27522.92,0.0702,205.37,240,0.0083
ENP-2026-02564,Solar,22999.44,0.0544,204.66,240,0.0132
ENP-2026-02565,Solar,25383.53,0.0627,166.6,240,0.0217
ENP-2026-02566,Solar,25365.46,0.0651,184.55,240,0.0371
ENP-2026-02567,Solar,26614.86,0.0476,191.83,240,0.0231
ENP-2026-02568,Solar,28146.78,0.0557,182.31,240,0.0272
ENP-2026-02569,Heat Pump,37274.08,0.06,258.65,240,0.0231
ENP-2026-02570,Heat Pump,35023.86,0.0648,268.55,240,0.0199
ENP-2026-02571,Solar,26563.7,0.0653,200.36,240,0.0174
ENP-2026-02572,Heat Pump,34625.93,0.0695,271.37,240,0.0259
ENP-2026-02573,Solar,25510.48,0.0595,177.62,240,0.0243
ENP-2026-02574,Solar,27169.34,0.0633,168.96,240,0.0081
ENP-2026-02575,Solar,22638.27,0.0649,179.31,240,0.0179
ENP-2026-02576,Solar,24043.25,0.0493,174.46,240,0.0626
ENP-2026-02577,Heat Pump,33435.37,0.0618,294.08,240,0.0079
ENP-2026-02578,Solar,23486.68,0.0565,189.96,240,0.0361
ENP-2026-02579,Solar,28421.32,0.0547,200.23,240,0.0468
ENP-2026-02580,Solar,22904.27,0.0541,211.15,240,0.0217
ENP-2026-02581,Solar,26052.3,0.055,175.69,240,0.0422
ENP-2026-02582,Heat Pump,36839.46,0.0633,259.95,240,0.0333
ENP-2026-02583,Solar,23792.21,0.0543,171.52,240,0.066
ENP-2026-02584,Solar,24098.35,0.0602,174.14,240,0.019
ENP-2026-02585,Solar,24896.07,0.0533,191.64,240,0.0197
ENP-2026-02586,Solar,25723.13,0.0573,178.49,240,0.0287
ENP-2026-02587,Solar,21850.54,0.0524,190.78,240,0.0218
ENP-2026-02588,Solar,26635.29,0.0494,169.45,240,0.0455
ENP-2026-02589,Solar,26277.73,0.0562,161.52,240,0.0181
ENP-2026-02590,Solar,22479.48,0.0604,177.94,240,0.027
ENP-2026-02591,Heat Pump,35624.68,0.0637,236.09,240,0.0174
ENP-2026-02592,Heat Pump,38374.0,0.0609,238.27,240,0.0521
ENP-2026-02593,Solar,23517.03,0.0661,192.22,240,0.0169
ENP-2026-02594,Solar,25773.68,0.0564,181.13,240,0.0369
ENP-2026-02595,Solar,22744.29,0.0603,182.23,240,0.0271
ENP-2026-02596,Heat Pump,31863.09,0.0614,279.43,240,0.0087
ENP-2026-02597,Solar,24009.35,0.0587,184.01,240,0.0678
ENP-2026-02598,Solar,24141.8,0.0575,196.06,240,0.0091
ENP-2026-02599,Solar,26196.34,0.0565,190.04,240,0.0038
ENP-2026-02600,Solar,26053.61,0.0553,186.85,240,0.0117
ENP-2026-02601,Solar,25199.63,0.0556,195.9,240,0.0358
ENP-2026-02602,Solar,25351.79,0.048,166.35,240,0.0255
ENP-2026-02603,Solar,27553.39,0.0576,201.67,240,0.0265
ENP-2026-02604,Solar,26444.82,0.0595,180.91,240,0.0058
ENP-2026-02605,Solar,22732.36,0.0615,184.29,240,0.0262
ENP-2026-02606,Solar,25093.69,0.0617,178.27,240,0.0101
ENP-2026-02607,Solar,21456.49,0.0536,179.42,240,0.0166
ENP-2026-02608,Solar,25348.77,0.0594,184.83,240,0.0142
ENP-2026-02609,Solar,24058.0,0.0553,182.77,240,0.013
ENP-2026-02610,Solar,21768.86,0.0677,209.28,240,0.0387
ENP-2026-02611,Heat Pump,34445.66,0.0662,233.79,240,0.0183
ENP-2026-02612,Solar,20276.92,0.0525,187.89,240,0.0202
ENP-2026-02613,Solar,24833.56,0.0565,175.87,240,0.0124
ENP-2026-02614,Solar,22720.2,0.0563,172.26,240,0.0311
ENP-2026-02615,Solar,25594.58,0.0537,190.53,240,0.0311
ENP-2026-02616,Solar,25658.92,0.063,168.63,240,0.0496
ENP-2026-02617,Solar,21137.88,0.0624,201.81,240,0.0721
ENP-2026-02618,Solar,22944.56,0.0552,152.01,240,0.0466
ENP-2026-02619,Heat Pump,35459.02,0.0657,255.66,240,0.0432
ENP-2026-02620,Solar,24691.26,0.0574,194.61,240,0.0309
ENP-2026-02621,Heat Pump,32277.86,0.0648,281.14,240,0.0235
ENP-2026-02622,Heat Pump,36613.12,0.0559,266.62,240,0.0289
ENP-2026-02623,Solar,28288.76,0.0479,187.18,240,0.0278
ENP-2026-02624,Heat Pump,28905.27,0.0655,249.67,240,0.0079
ENP-2026-02625,Solar,24340.9,0.0548,186.31,240,0.017
ENP-2026-02626,Heat Pump,33905.1,0.0684,234.81,240,0.0107
ENP-2026-02627,Solar,23268.71,0.0666,177.0,240,0.0281
ENP-2026-02628,Solar,25247.42,0.0516,191.72,240,0.0069
ENP-2026-02629,Solar,24636.66,0.0511,165.19,240,0.0251
ENP-2026-02630,Solar,25159.83,0.0646,161.7,240,0.0199
ENP-2026-02631,Solar,24783.67,0.0488,192.98,240,0.0158
ENP-2026-02632,Solar,25444.14,0.0535,202.49,240,0.0051
ENP-2026-02633,Solar,24349.07,0.0642,186.7,240,0.0228
ENP-2026-02634,Solar,27799.74,0.057,177.54,240,0.0079
ENP-2026-02635,Solar,23912.66,0.0582,160.55,240,0.0077
ENP-2026-02636,Solar,27518.98,0.0576,156.49,240,0.0029
ENP-2026-02637,Heat Pump,30235.2,0.0575,282.58,240,0.0207
ENP-2026-02638,Heat Pump,32503.95,0.0645,244.85,240,0.0191
ENP-2026-02639,Heat Pump,33703.15,0.0652,258.43,240,0.0312
ENP-2026-02640,Solar,26699.46,0.0555,189.8,240,0.0414
ENP-2026-02641,Solar,25962.11,0.0579,159.23,240,0.0191
ENP-2026-02642,Solar,29160.92,0.0618,141.98,240,0.0206
ENP-2026-02643,Heat Pump,38117.27,0.0629,256.72,240,0.016
ENP-2026-02644,Solar,23710.94,0.0582,196.31,240,0.0536
ENP-2026-02645,Solar,22918.2,0.0602,164.66,240,0.0604
ENP-2026-02646,Solar,26305.64,0.0543,176.21,240,0.0899
ENP-2026-02647,Heat Pump,37718.65,0.0626,256.82,240,0.0429
ENP-2026-02648,Solar,23693.51,0.0572,183.63,240,0.0472
ENP-2026-02649,Solar,26855.43,0.059,184.02,240,0.0135
ENP-2026-02650,Solar,24099.64,0.0583,217.37,240,0.0051
ENP-2026-02651,Solar,21837.05,0.0513,170.5,240,0.0292
ENP-2026-02652,Solar,24711.12,0.0654,190.29,240,0.0121
ENP-2026-02653,Solar,25983.32,0.0532,183.85,240,0.0249
ENP-2026-02654,Solar,28019.1,0.0548,186.39,240,0.0649
ENP-2026-02655,Heat Pump,35106.81,0.0648,253.78,240,0.0136
ENP-2026-02656,Solar,28177.62,0.0678,199.94,240,0.024
ENP-2026-02657,Heat Pump,33422.08,0.061,262.44,240,0.0303
ENP-2026-02658,Heat Pump,40426.57,0.0655,294.73,240,0.0293
ENP-2026-02659,Solar,21372.24,0.0684,172.02,240,0.0114
ENP-2026-02660,Solar,27227.93,0.0655,167.84,240,0.0459
ENP-2026-02661,Solar,24724.98,0.0525,154.6,240,0.0199
ENP-2026-02662,Heat Pump,33654.32,0.0705,230.29,240,0.0126
ENP-2026-02663,Solar,26734.31,0.0585,184.55,240,0.0359
ENP-2026-02664,Solar,26963.16,0.0568,209.51,240,0.0094
ENP-2026-02665,Solar,23640.3,0.0606,182.92,240,0.0125
ENP-2026-02666,Solar,22971.34,0.0577,190.03,240,0.022
ENP-2026-02667,Solar,30337.77,0.057,200.48,240,0.0341
ENP-2026-02668,Solar,28353.15,0.0741,191.04,240,0.0109
ENP-2026-02669,Solar,28783.16,0.0601,179.69,240,0.0292
ENP-2026-02670,Solar,26225.4,0.061,178.34,240,0.0062
ENP-2026-02671,Solar,24506.47,0.0582,183.14,240,0.0242
ENP-2026-02672,Solar,20434.25,0.0641,183.26,240,0.0172
ENP-2026-02673,Solar,26766.99,0.0538,160.61,240,0.026
ENP-2026-02674,Solar,26786.99,0.0511,206.29,240,0.0605
ENP-2026-02675,Heat Pump,31988.23,0.0621,239.44,240,0.024
ENP-2026-02676,Solar,23429.17,0.0536,170.41,240,0.0064
ENP-2026-02677,Solar,26214.63,0.0538,168.77,240,0.0281
ENP-2026-02678,Solar,22867.73,0.0447,188.36,240,0.0496
ENP-2026-02679,Solar,23101.83,0.063,165.98,240,0.0393
ENP-2026-02680,Solar,28278.85,0.0546,176.44,240,0.0211
ENP-2026-02681,Solar,31430.75,0.0618,169.29,240,0.0203
ENP-2026-02682,Heat Pump,31545.26,0.0688,263.17,240,0.0183
ENP-2026-02683,Solar,25338.63,0.0551,176.05,240,0.019
ENP-2026-02684,Solar,27799.84,0.0536,202.01,240,0.0611
ENP-2026-02685,Solar,28686.77,0.0594,174.2,240,0.0104
ENP-2026-02686,Solar,24256.2,0.0579,203.09,240,0.0071
ENP-2026-02687,Solar,24967.55,0.0665,216.09,240,0.0245
ENP-2026-02688,Solar,25167.11,0.0513,189.9,240,0.0092
ENP-2026-02689,Solar,24100.63,0.0536,177.5,240,0.0076
ENP-2026-02690,Solar,24378.17,0.0552,177.15,240,0.0246
ENP-2026-02691,Solar,27632.51,0.0425,173.22,240,0.0494
ENP-2026-02692,Solar,23806.6,0.0634,194.53,240,0.0152
ENP-2026-02693,Solar,25014.06,0.0549,171.15,240,0.0123
ENP-2026-02694,Solar,22890.11,0.059,183.14,240,0.0247
ENP-2026-02695,Heat Pump,39352.54,0.0611,270.28,240,0.0308
ENP-2026-02696,Solar,24054.35,0.0549,176.16,240,0.0309
ENP-2026-02697,Solar,24736.65,0.0556,171.61,240,0.0959
ENP-2026-02698,Solar,26316.36,0.0715,195.86,240,0.0536
ENP-2026-02699,Heat Pump,34942.73,0.066,300.52,240,0.007
ENP-2026-02700,Heat Pump,34176.62,0.0586,194.7,240,0.0093
ENP-2026-02701,Solar,28343.22,0.0592,171.35,240,0.0109
ENP-2026-02702,Heat Pump,38463.06,0.0705,252.88,240,0.0311
ENP-2026-02703,Solar,23142.47,0.0555,160.21,240,0.0178
ENP-2026-02704,Solar,28572.07,0.0582,172.87,240,0.0283
ENP-2026-02705,Heat Pump,37436.0,0.0612,227.16,240,0.0147
ENP-2026-02706,Heat Pump,36998.35,0.0695,246.91,240,0.0282
ENP-2026-02707,Solar,22420.0,0.0661,176.48,240,0.0099
ENP-2026-02708,Solar,23843.93,0.061,190.27,240,0.0248
ENP-2026-02709,Solar,23228.5,0.0542,177.57,240,0.0117
ENP-2026-02710,Solar,23477.48,0.0579,165.65,240,0.0503
ENP-2026-02711,Heat Pump,39505.82,0.0636,250.32,240,0.0273
ENP-2026-02712,Solar,24290.33,0.0631,195.21,240,0.0221
ENP-2026-02713,Solar,24649.31,0.0512,173.49,240,0.0079
ENP-2026-02714,Solar,22558.44,0.0645,187.34,240,0.0295
ENP-2026-02715,Solar,26349.0,0.0529,189.4,240,0.0118
ENP-2026-02716,Solar,26339.31,0.063,168.61,240,0.0268
ENP-2026-02717,Solar,26034.21,0.0483,209.46,240,0.0206
ENP-2026-02718,Heat Pump,39138.18,0.0684,265.46,240,0.0689
ENP-2026-02719,Heat Pump,35755.89,0.0659,271.68,240,0.0225
ENP-2026-02720,Solar,24240.19,0.0526,152.01,240,0.0148
ENP-2026-02721,Heat Pump,33179.4,0.0629,256.23,240,0.0591
ENP-2026-02722,Heat Pump,32869.07,0.0633,254.45,240,0.0346
ENP-2026-02723,Heat Pump,34786.74,0.0727,284.99,240,0.0049
ENP-2026-02724,Solar,25178.15,0.0464,176.74,240,0.0209
ENP-2026-02725,Solar,23024.47,0.0545,184.52,240,0.0271
ENP-2026-02726,Solar,30431.79,0.0669,164.81,240,0.055
ENP-2026-02727,Solar,23468.83,0.0506,174.63,240,0.0422
ENP-2026-02728,Solar,24541.97,0.0527,156.3,240,0.0056
ENP-2026-02729,Solar,25864.89,0.0621,184.94,240,0.0129
ENP-2026-02730,Solar,26293.28,0.0525,185.71,240,0.0607
ENP-2026-02731,Solar,27646.02,0.0604,176.91,240,0.0134
ENP-2026-02732,Solar,22786.55,0.0512,172.28,240,0.1004
ENP-2026-02733,Solar,27445.25,0.0656,166.78,240,0.0169
ENP-2026-02734,Heat Pump,34783.59,0.0647,242.28,240,0.0481
ENP-2026-02735,Heat Pump,37869.25,0.0625,250.89,240,0.0443
ENP-2026-02736,Heat Pump,35330.61,0.0665,294.49,240,0.0132
ENP-2026-02737,Heat Pump,35733.83,0.075,260.59,240,0.0463
ENP-2026-02738,Solar,26714.89,0.0615,196.0,240,0.034
ENP-2026-02739,Heat Pump,34290.25,0.0667,230.94,240,0.0303
ENP-2026-02740,Solar,26823.72,0.0617,193.9,240,0.0335
ENP-2026-02741,Solar,25252.13,0.0593,199.58,240,0.0025
ENP-2026-02742,Solar,21969.59,0.0603,181.61,240,0.0441
ENP-2026-02743,Solar,24806.25,0.0634,159.25,240,0.0385
ENP-2026-02744,Solar,25396.38,0.049,175.05,240,0.0505
ENP-2026-02745,Solar,23707.5,0.0598,168.13,240,0.0332
ENP-2026-02746,Heat Pump,33721.37,0.0592,258.38,240,0.0313
